,Stock,2019,2020,2021,2022,2023,CalculatedValue,CurrentPriceValue,,
6,SC,0.19,0.18,0.2,0.25,0.24,9.58,2.56,TRUE,274.12%
1,SAT,1.35,0.6,0.4,1.5,1.6,35.48,12.10,TRUE,193.22%
12,ORI,0.5,0.49,0.54,0.72,0.46,5.22,4.06,TRUE,28.55%
0,DIF,1.03,1.04,1.04,1.03,0.93,9.90,7.80,TRUE,26.92%
4,TISCO,7.75,6.3,7.15,7.75,7.75,95.33,95.50,FALSE,-0.17%
23,KTB,0.75,0.28,0.42,0.68,0.87,17.00,18.30,FALSE,-7.10%
3,NYT,0.5,0.2,0.16,0.22,0.36,2.56,3.02,FALSE,-15.33%
14,TTW,0.6,0.6,0.6,0.6,0.6,7.50,9.20,FALSE,-18.48%
9,PSH,1.55,0.96,0.96,0.96,0.96,7.24,9.00,FALSE,-19.56%
27,BANPU,0.6,0.3,0.45,1.2,0.45,4.34,5.45,FALSE,-20.38%
24,WHAUP,0.25,0.25,0.25,0.16,0.25,3.05,4.00,FALSE,-23.80%
22,EGCO,6.5,6.5,6.5,6.5,6.5,81.25,107.00,FALSE,-24.07%
7,LH,0.7,0.5,0.5,0.6,0.5,4.17,5.65,FALSE,-26.28%
8,QH,0.2,0.12,0.1,0.14,0.15,1.20,1.80,FALSE,-33.41%
2,SIRI,0.6,0.04,0.06,0.15,0.2,1.12,1.71,FALSE,-34.37%
21,KKP,4.25,2.25,2.95,3.25,3,23.91,46.00,FALSE,-48.03%
17,SCCC,8,9,9,9,7,74.24,159.00,FALSE,-53.31%
10,RATCH,2.4,2.4,2.5,1.6,1.6,13.81,30.50,FALSE,-54.71%
15,TCAP,7,3,3,3.1,3.2,21.92,50.50,FALSE,-56.59%
19,THANI,0.32,0.17,0.17,0.17,0.02,0.65,1.95,FALSE,-66.48%
29,SABINA,0.97,0.86,1.05,1.25,0.67,6.29,21.60,FALSE,-70.89%
28,BCP,0.3,0.4,2,2.25,2,1.72,37.25,FALSE,-95.40%
26,SPRC,0.12,0.06,0.18,1.11,0.3,0.05,7.10,FALSE,-99.28%
18,STGT,,3.25,4.65,,0.5,,10.60,FALSE,-100.00%
5,AH,0.36,0.15,0.94,1.54,1.65,-0.34,19.30,FALSE,-101.75%
20,TTB,0.04,0.05,0.04,0.07,0.11,-0.21,1.85,FALSE,-111.16%
13,AP,0.4,0.45,0.5,0.65,0.7,-5.60,8.45,FALSE,-166.32%
25,PTTEP,6,4.25,5,9.25,9.5,-145.85,141.50,FALSE,-203.07%
11,SCB,6.25,2.3,4.06,6.69,10.34,-122.99,107.00,FALSE,-214.94%
16,SPALI,1,1,1.25,1.45,1.45,-57.45,17.60,FALSE,-426.42%
