Stock,2019,2020,2021,2022,2023
DIF,1.03,1.04,1.04,1.03,0.93
SAT,1.35,0.6,0.4,1.5,1.6
SIRI,0.6,0.04,0.06,0.15,0.2
NYT,0.5,0.2,0.16,0.22,0.36
TISCO,7.75,6.3,7.15,7.75,7.75
AH,0.36,0.15,0.94,1.54,1.65
SC,0.19,0.18,0.2,0.25,0.24
LH,0.7,0.5,0.5,0.6,0.5
QH,0.2,0.12,0.1,0.14,0.15
PSH,1.55,0.96,0.96,0.96,0.96
RATCH,2.4,2.4,2.5,1.6,1.6
SCB,6.25,2.3,4.06,6.69,10.34
ORI,0.5,0.49,0.54,0.72,0.46
AP,0.4,0.45,0.5,0.65,0.7
TTW,0.6,0.6,0.6,0.6,0.6
TCAP,7.0,3.0,3.0,3.1,3.2
SPALI,1.0,1.0,1.25,1.45,1.45
SCCC,8.0,9.0,9.0,9.0,7.0
STGT,,3.25,4.65,,0.5
THANI,0.32,0.17,0.17,0.17,0.02
TTB,0.04,0.05,0.04,0.07,0.11
KKP,4.25,2.25,2.95,3.25,3.0
EGCO,6.5,6.5,6.5,6.5,6.5
KTB,0.75,0.28,0.42,0.68,0.87
WHAUP,0.25,0.25,0.25,0.16,0.25
PTTEP,6.0,4.25,5.0,9.25,9.5
SPRC,0.12,0.06,0.18,1.11,0.3
BANPU,0.6,0.3,0.45,1.2,0.45
BCP,0.3,0.4,2.0,2.25,2.0
SABINA,0.97,0.86,1.05,1.25,0.67
